Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
272,272,0,-15.7,443.97,-26.5,246.65,0.856,29.9212,2116.22,1.000E+00,2.777E-03,1.168E+00,1032.9,612,1481.3,3.296E-07
1133,1133,1000,-13,447,-24.8,248,1,28.8557,2040.86,9.644E-01,2.660E-03,1.119E+00,1036.5,614.1,1428.6,3.315E-07
2006,2006,2000,-10,450,-23.1,250.05,0.8678,27.821,1967.68,9.298E-01,2.547E-03,1.071E+00,1040,616.2,1377.4,3.333E-07
2890,2890,3000,-7,453,-21.4,251.75,0.8737,26.8166,1896.64,8.962E-01,2.438E-03,1.026E+00,1043.5,618.3,1327.6,3.352E-07
3112,3112,3243,-6,454,-21,252.15,0.8751,26.5771,1879.7,8.882E-01,2.413E-03,1.015E+00,1044.4,618.8,1315.8,3.357E-07
3790,3791,4000,-6.16,453.51,-21.2,251.95,0.8744,25.8418,1827.7,8.637E-01,2.348E-03,9.878E-01,1044,618.5,1279.4,3.354E-07
4691,4692,5000,-6.7,452.97,-21.5,251.65,0.8733,24.8959,1760.8,8.320E-01,2.265E-03,9.527E-01,1043.3,618.2,1232.5,3.351E-07
5597,5598,6000,-7.24,452.43,-21.8,251.35,0.8723,23.9782,1695.89,8.014E-01,2.184E-03,9.187E-01,1042.7,617.8,1187.1,3.348E-07
6509,6511,7000,-7.78,451.89,-22.1,251.05,0.8712,23.0881,1632.94,7.716E-01,2.105E-03,8.857E-01,1042.1,617.4,1143,3.344E-07
7426,7429,8000,-8.32,451.35,-22.4,250.75,0.8702,22.2249,1571.89,7.428E-01,2.029E-03,8.536E-01,1041.5,617.1,1100.3,3.341E-07
8349,8352,9000,-8.86,450.81,-22.7,250.45,0.8692,21.3881,1512.7,7.148E-01,1.955E-03,8.224E-01,1040.8,616.7,1058.9,3.338E-07
9173,9177,9882,-9.4,450.27,-23,250.15,0.8681,20.6712,1462,6.909E-01,1.892E-03,7.958E-01,1040.2,616.3,1023.4,3.335E-07
9282,9286,10000,-9.76,449.91,-23.2,249.95,0.8674,20.5769,1455.33,6.877E-01,1.884E-03,7.928E-01,1039.8,616.1,1018.7,3.332E-07
10213,10218,11000,-12.46,447.21,-24.7,248.45,0.8622,19.7909,1399.74,6.614E-01,1.823E-03,7.671E-01,1036.7,614.2,979.8,3.316E-07
11145,11151,12000,-15.34,444.33,-26.3,246.85,0.8567,19.0293,1345.87,6.360E-01,1.765E-03,7.424E-01,1033.3,612.2,942.1,3.298E-07
12079,12086,13000,-18.22,441.45,-27.9,245.25,0.8511,18.2917,1293.7,6.113E-01,1.707E-03,7.183E-01,1030,610.2,905.6,3.281E-07
13013,13021,14000,-21.1,438.57,-29.5,243.65,0.8456,17.5773,1243.18,5.875E-01,1.651E-03,6.947E-01,1026.6,608.3,870.2,3.263E-07
13949,13958,15000,-23.8,435.87,-31,242.15,0.8404,16.8858,1194.27,5.643E-01,1.596E-03,6.715E-01,1023.5,606.4,836,3.246E-07
14885,14896,16000,-26.68,432.99,-32.6,240.55,0.8348,16.2164,1146.93,5.420E-01,1.543E-03,6.492E-01,1020.1,604.4,802.8,3.228E-07
15823,15835,17000,-29.56,430.11,-34.2,238.95,0.8293,15.5687,1101.12,5.203E-01,1.491E-03,6.275E-01,1016.7,602.4,770.8,3.210E-07
16762,16775,18000,-32.26,427.41,-35.7,237.45,0.824,14.9421,1056.8,4.994E-01,1.440E-03,6.060E-01,1013.5,600.5,739.8,3.193E-07
17702,17717,19000,-35.14,424.53,-37.3,235.85,0.8185,14.336,1013.94,4.791E-01,1.391E-03,5.854E-01,1010.1,598.4,709.7,3.175E-07
18643,18660,20000,-38.02,421.65,-38.9,234.25,0.8129,13.7501,972.49,4.595E-01,1.344E-03,5.653E-01,1006.6,596.4,680.7,3.157E-07
19585,19603,21000,-40.9,418.77,-40.5,232.65,0.8074,13.1836,932.43,4.406E-01,1.297E-03,5.457E-01,1003.2,594.4,652.7,3.139E-07
20529,20549,22000,-43.78,415.89,-42.1,231.05,0.8018,12.6362,893.72,4.223E-01,1.252E-03,5.267E-01,999.7,592.3,625.6,3.121E-07
21473,21495,23000,-46.66,413.01,-43.7,229.45,0.7963,12.1074,856.31,4.046E-01,1.208E-03,5.082E-01,996.3,590.3,599.4,3.103E-07
22419,22443,24000,-49.36,410.31,-45.2,227.95,0.7911,11.5967,820.19,3.876E-01,1.165E-03,4.899E-01,993,588.3,574.1,3.086E-07
23366,23392,25000,-52.24,407.43,-46.8,226.35,0.7855,11.1035,785.31,3.711E-01,1.123E-03,4.724E-01,989.5,586.3,549.7,3.067E-07
24314,24342,26000,-55.12,404.55,-48.4,224.75,0.78,10.6274,751.64,3.552E-01,1.082E-03,4.554E-01,986,584.2,526.1,3.049E-07
25263,25294,27000,-58,401.67,-50,223.15,0.7744,10.168,719.15,3.398E-01,1.043E-03,4.388E-01,982.5,582.1,503.4,3.031E-07
26214,26247,28000,-60.88,398.79,-51.6,221.55,0.7689,9.7249,687.8,3.250E-01,1.005E-03,4.227E-01,979,580,481.5,3.012E-07
27166,27201,29000,-63.76,395.91,-53.2,219.95,0.7633,9.2974,657.57,3.107E-01,9.676E-04,4.071E-01,975.4,577.9,460.3,2.994E-07
28119,28157,30000,-66.64,393.03,-54.8,218.35,0.7578,8.8854,628.43,2.970E-01,9.315E-04,3.919E-01,971.9,575.8,439.9,2.975E-07
28225,28263,30065,-67,392.67,-55,218.15,0.7571,8.8595,626.6,2.961E-01,9.296E-04,3.911E-01,971.4,575.5,438.6,2.973E-07
29119,29160,31000,-67.18,392.49,-55.1,218.05,0.7567,8.4882,600.34,2.837E-01,8.911E-04,3.749E-01,971.2,575.4,420.2,2.971E-07
30084,30127,32000,-67.54,392.13,-55.3,217.85,0.756,8.1056,573.28,2.709E-01,8.517E-04,3.583E-01,970.7,575.1,401.3,2.969E-07
31056,31102,33000,-67.72,391.95,-55.4,217.75,0.7557,7.737,547.21,2.586E-01,8.133E-04,3.422E-01,970.5,575,383,2.968E-07
32037,32086,34000,-68.08,391.59,-55.6,217.55,0.755,7.3821,522.11,2.467E-01,7.767E-04,3.268E-01,970.1,574.8,365.5,2.966E-07
33025,33077,35000,-68.26,391.41,-55.7,217.45,0.7546,7.0406,497.95,2.353E-01,7.411E-04,3.118E-01,969.9,574.6,348.6,2.964E-07
34023,34079,36000,-68.44,391.23,-55.8,217.35,0.7543,6.7119,474.71,2.243E-01,7.069E-04,2.974E-01,969.6,574.5,332.3,2.963E-07
35024,35083,37000,-68.8,390.87,-56,217.15,0.7536,6.397,452.43,2.138E-01,6.743E-04,2.837E-01,969.2,574.2,316.7,2.961E-07
36025,36087,38000,-68.98,390.69,-56.1,217.05,0.7533,6.0968,431.2,2.038E-01,6.430E-04,2.705E-01,969,574.1,301.8,2.960E-07
37026,37092,39000,-69.34,390.33,-56.3,216.85,0.7526,5.8107,410.97,1.942E-01,6.134E-04,2.581E-01,968.5,573.8,287.7,2.957E-07
38026,38095,40000,-69.52,390.15,-56.4,216.75,0.7522,5.538,391.68,1.851E-01,5.848E-04,2.461E-01,968.3,573.7,274.2,2.956E-07
39025,39098,41000,-69.88,389.79,-56.6,216.55,0.7515,5.2781,373.3,1.764E-01,5.579E-04,2.347E-01,967.8,573.4,261.3,2.954E-07
40023,40100,42000,-70.06,389.61,-56.7,216.45,0.7512,5.0304,355.78,1.681E-01,5.320E-04,2.238E-01,967.6,573.3,249,2.953E-07
41021,41102,43000,-70.42,389.25,-56.9,216.25,0.7505,4.7944,339.09,1.602E-01,5.075E-04,2.135E-01,967.2,573,237.4,2.950E-07
42018,42103,44000,-70.6,389.07,-57,216.15,0.7501,4.5694,323.18,1.527E-01,4.839E-04,2.036E-01,967,572.9,226.2,2.949E-07
43015,43104,45000,-70.78,388.89,-57.1,216.05,0.7498,4.355,308.01,1.455E-01,4.614E-04,1.941E-01,966.7,572.8,215.6,2.948E-07
44010,44103,46000,-71.14,388.53,-57.3,215.85,0.7491,4.1506,293.56,1.387E-01,4.402E-04,1.852E-01,966.3,572.5,205.5,2.946E-07
45005,45102,47000,-71.32,388.35,-57.4,215.75,0.7487,3.9558,279.78,1.322E-01,4.197E-04,1.766E-01,966.1,572.4,195.8,2.945E-07
46000,46102,48000,-71.68,387.99,-57.6,215.55,0.748,3.7702,266.65,1.260E-01,4.004E-04,1.684E-01,965.6,572.1,186.7,2.942E-07
46994,47100,49000,-71.86,387.81,-57.7,215.45,0.7477,3.5933,254.14,1.201E-01,3.818E-04,1.606E-01,965.4,572,177.9,2.941E-07
47987,48097,50000,-72.22,387.45,-57.9,215.25,0.747,3.4246,242.21,1.145E-01,3.642E-04,1.532E-01,964.9,571.7,169.5,2.939E-07
48979,49094,51000,-72.4,387.27,-58,215.15,0.7467,3.2639,230.85,1.091E-01,3.473E-04,1.461E-01,964.7,571.6,161.6,2.938E-07
49971,50091,52000,-72.76,386.91,-58.2,214.95,0.746,3.1108,220.01,1.040E-01,3.313E-04,1.394E-01,964.3,571.3,154,2.935E-07
50962,51087,53000,-72.94,386.73,-58.3,214.85,0.7456,2.9648,209.69,9.909E-02,3.159E-04,1.329E-01,964,571.2,146.8,2.934E-07
51953,52083,54000,-73.12,386.55,-58.4,214.75,0.7453,2.8257,199.85,9.630E-02,3.012E-04,1.267E-01,963.8,571,139.9,2.933E-07
52942,53077,55000,-73.48,386.19,-58.6,214.55,0.7446,2.6931,190.47,9.444E-02,2.873E-04,1.209E-01,963.4,570.8,133.3,2.931E-07
53932,54072,56000,-73.66,386.01,-58.7,214.45,0.7442,2.5667,181.53,8.578E-02,2.740E-04,1.153E-01,963.1,570.6,127.1,2.929E-07
54920,55065,57000,-74.02,385.65,-58.9,214.25,0.7435,2.4462,173.01,8.176E-02,2.614E-04,1.100E-01,962.7,570.4,121.1,2.927E-07
55908,56058,58000,-74.2,385.47,-59,214.15,0.7432,2.3314,164.89,7.792E-02,2.492E-04,1.048E-01,962.5,570.2,115.4,2.926E-07
56895,57050,59000,-74.56,385.11,-59.2,213.95,0.7425,2.222,157.16,7.426E-02,2.377E-04,1.000E-01,962,570,110,2.924E-07
57882,58043,60000,-74.74,384.93,-59.3,213.85,0.7421,2.1178,149.78,7.078E-02,2.267E-04,9.537E-02,961.8,569.8,104.8,2.922E-07
58868,59034,61000,-74.92,384.75,-59.4,213.75,0.7418,2.0184,142.75,6.746E-02,2.161E-04,9.094E-02,961.6,569.7,99.9,2.921E-07
59852,60024,62000,-75.28,384.39,-59.6,213.55,0.7411,1.9237,136.05,6.429E-02,2.062E-04,8.675E-02,961.1,569.4,95.2,2.919E-07
60837,61015,63000,-75.46,384.21,-59.7,213.45,0.7408,1.8334,129.67,6.127E-02,1.966E-04,8.272E-02,960.9,569.3,90.8,2.918E-07
61821,62004,64000,-75.82,383.85,-59.9,213.25,0.7401,1.7474,123.58,5.840E-02,1.876E-04,7.891E-02,960.4,569,86.5,2.915E-07
62804,62993,65000,-76,383.67,-60,213.15,0.7397,1.6654,117.78,5.566E-02,1.788E-04,7.524E-02,960.2,568.9,82.4,2.914E-07
63787,63982,66000,-76.36,383.31,-60.2,212.95,0.739,1.5872,112.26,5.305E-02,1.706E-04,7.178E-02,959.8,568.6,78.6,2.912E-07
64768,64969,67000,-76.54,383.13,-60.3,212.85,0.7387,1.5128,107,5.056E-02,1.627E-04,6.845E-02,959.5,568.5,74.9,2.911E-07
65750,65958,68000,-76.72,382.95,-60.4,212.75,0.7383,1.442,101.99,4.819E-02,1.551E-04,6.527E-02,959.3,568.4,71.4,2.909E-07
66730,66944,69000,-77.08,382.59,-60.6,212.55,0.7376,1.3746,97.22,4.594E-02,1.480E-04,6.228E-02,958.9,568.1,68.1,2.907E-07
67710,67930,70000,-77.26,382.41,-60.7,212.45,0.7373,1.3104,92.68,4.380E-02,1.412E-04,5.940E-02,958.6,568,64.9,2.906E-07
68690,68917,71000,-77.62,382.05,-60.9,212.25,0.7366,1.2494,88.36,4.175E-02,1.347E-04,5.669E-02,958.2,567.7,61.9,2.904E-07
69668,69901,72000,-77.8,381.87,-61,212.15,0.7362,1.1912,84.25,3.981E-02,1.285E-04,5.407E-02,958,567.6,59,2.902E-07
70646,70886,73000,-78.16,381.51,-61.2,211.95,0.7356,1.1358,80.33,3.796E-02,1.227E-04,5.161E-02,957.5,567.3,56.2,2.900E-07
71623,71869,74000,-78.34,381.33,-61.3,211.85,0.7352,1.0831,76.6,3.620E-02,1.170E-04,4.924E-02,957.3,567.2,53.6,2.899E-07
72600,72853,75000,-78.52,381.15,-61.4,211.75,0.7349,1.0329,73.05,3.452E-02,1.117E-04,4.697E-02,957.1,567,51.1,2.898E-07
73576,73836,76000,-78.88,380.79,-61.6,211.55,0.7342,0.9851,69.67,3.292E-02,1.066E-04,4.484E-02,956.6,566.8,48.8,2.895E-07
74551,74818,77000,-79.06,380.61,-61.7,211.45,0.7338,0.9395,66.45,3.140E-02,1.017E-04,4.279E-02,956.4,566.6,46.5,2.894E-07
75525,75799,78000,-79.42,380.25,-61.9,211.25,0.7331,0.8961,63.38,2.995E-02,9.710E-05,4.085E-02,955.9,566.4,44.4,2.892E-07
76500,76781,79000,-79.6,380.07,-62,211.15,0.7328,0.8548,60.46,2.857E-02,9.267E-05,3.899E-02,955.7,566.2,42.3,2.891E-07
77473,77761,80000,-79.78,379.89,-62.1,211.05,0.7324,0.8154,57.67,2.725E-02,8.844E-05,3.721E-02,955.5,566.1,40.4,2.889E-07
78446,78742,81000,-80.14,379.53,-62.3,210.85,0.7317,0.7779,55.02,2.600E-02,8.446E-05,3.553E-02,955,565.8,38.5,2.887E-07
79419,79722,82000,-80.32,379.35,-62.4,210.75,0.7314,0.7422,52.49,2.481E-02,8.062E-05,3.392E-02,954.8,565.7,36.7,2.886E-07
80388,80699,83000,-80.68,378.99,-62.6,210.55,0.7307,0.7082,50.09,2.367E-02,7.699E-05,3.239E-02,954.3,565.4,35.1,2.883E-07
81353,81671,84000,-80.86,378.81,-62.7,210.45,0.7303,0.6757,47.79,2.258E-02,7.350E-05,3.092E-02,954.1,565.3,33.5,2.882E-07
82312,82638,85000,-81.04,378.63,-62.8,210.35,0.73,0.6448,45.61,2.155E-02,7.017E-05,2.952E-02,953.9,565.2,31.9,2.881E-07
83268,83601,86000,-81.4,378.27,-63,210.15,0.7293,0.6154,43.52,2.057E-02,6.703E-05,2.820E-02,953.4,564.9,30.5,2.879E-07
84229,84570,87000,-81.4,378.27,-63,210.15,0.7293,0.5873,41.54,1.963E-02,6.397E-05,2.691E-02,953.4,564.9,29.1,2.879E-07
85177,85526,88000,-81.4,378.27,-63,210.15,0.7293,0.5606,39.65,1.873E-02,6.106E-05,2.569E-02,953.4,564.9,27.8,2.879E-07
86120,86476,89000,-81.4,378.27,-63,210.15,0.7293,0.535,37.84,1.788E-02,5.828E-05,2.452E-02,953.4,564.9,26.5,2.879E-07
87059,87423,90000,-81.4,378.27,-63,210.15,0.7293,0.5107,36.12,1.707E-02,5.563E-05,2.340E-02,953.4,564.9,25.3,2.879E-07
87995,88367,91000,-81.4,378.27,-63,210.15,0.7293,0.4876,34.48,1.629E-02,5.311E-05,2.234E-02,953.4,564.9,24.1,2.879E-07
88927,89307,92000,-81.4,378.27,-63,210.15,0.7293,0.4655,32.92,1.556E-02,5.070E-05,2.133E-02,953.4,564.9,23,2.879E-07
89855,90243,93000,-81.4,378.27,-63,210.15,0.7293,0.4444,31.43,1.485E-02,4.841E-05,2.037E-02,953.4,564.9,22,2.879E-07
90779,91175,94000,-81.4,378.27,-63,210.15,0.7293,0.4243,30.01,1.418E-02,4.622E-05,1.944E-02,953.4,564.9,21,2.879E-07
91699,92103,95000,-81.4,378.27,-63,210.15,0.7293,0.4052,28.66,1.354E-02,4.413E-05,1.857E-02,953.4,564.9,20.1,2.879E-07
92616,93028,96000,-81.4,378.27,-63,210.15,0.7293,0.3869,27.36,1.293E-02,4.214E-05,1.773E-02,953.4,564.9,19.2,2.879E-07
93530,93951,97000,-81.4,378.27,-63,210.15,0.7293,0.3695,26.13,1.235E-02,4.025E-05,1.693E-02,953.4,564.9,18.3,2.879E-07
94440,94869,98000,-81.4,378.27,-63,210.15,0.7293,0.3529,24.96,1.179E-02,3.844E-05,1.617E-02,953.4,564.9,17.5,2.879E-07
95345,95782,99000,-81.4,378.27,-63,210.15,0.7293,0.337,23.84,1.126E-02,3.671E-05,1.544E-02,953.4,564.9,16.7,2.879E-07
96249,96695,100000,-81.4,378.27,-63,210.15,0.7293,0.3219,22.77,1.076E-02,3.506E-05,1.475E-02,953.4,564.9,15.9,2.879E-07
