Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
-15000,-14989,-14994,112.49,572.16,44.72,317.87,1.1031,50.1221,3544.95,1.6750,3.609E-03,1.5190,1172.6,694.7,2481.4,4.029E-07
-14000,-13991,-13994,108.93,568.6,42.74,315.89,1.0963,48.5018,3430.35,1.6210,3.515E-03,1.4790,1168.9,692.6,2401.2,4.010E-07
-13000,-12992,-12995,105.36,565.03,40.76,313.91,1.0894,46.9241,3318.77,1.5680,3.422E-03,1.4400,1165.3,690.4,2323.1,3.991E-07
-12000,-11993,-11995,101.79,561.46,38.77,311.92,1.0825,45.3883,3210.15,1.5170,3.331E-03,1.4010,1161.6,688.2,2247.1,3.972E-07
-11000,-10994,-10996,98.23,557.9,36.79,309.94,1.0756,43.8935,3104.42,1.4670,3.242E-03,1.3640,1157.9,686,2173.1,3.953E-07
-10000,-9995,-9996,94.66,554.33,34.81,307.96,1.0688,42.4387,3001.54,1.4180,3.154E-03,1.3270,1154.2,683.8,2101.1,3.934E-07
-9000,-8996,-8996,91.1,550.77,32.83,305.98,1.0619,41.0233,2901.43,1.3710,3.069E-03,1.2910,1150.5,681.6,2031,3.914E-07
-8000,-7997,-7997,87.53,547.2,30.85,304,1.055,39.6463,2804.04,1.3250,2.985E-03,1.2560,1146.7,679.4,1962.8,3.895E-07
-7000,-6998,-6997,83.96,543.63,28.87,302.02,1.0481,38.307,2709.31,1.2800,2.903E-03,1.2210,1143,677.2,1896.5,3.875E-07
-6000,-5998,-5998,80.4,540.07,26.89,300.04,1.0413,37.0045,2617.19,1.2370,2.823E-03,1.1880,1139.2,675,1832,3.856E-07
-5000,-4999,-4998,76.83,536.5,24.91,298.06,1.0344,35.7382,2527.63,1.1940,2.745E-03,1.1550,1135.5,672.7,1769.3,3.836E-07
-4000,-3999,-3998,73.26,532.93,22.92,296.07,1.0275,34.5071,2440.56,1.1530,2.668E-03,1.1220,1131.7,670.5,1708.4,3.816E-07
-3000,-3000,-2999,69.7,529.37,20.94,294.09,1.0206,33.3107,2355.94,1.1130,2.593E-03,1.0910,1127.9,668.3,1649.1,3.797E-07
-2000,-2000,-1999,66.13,525.8,18.96,292.11,1.0138,32.148,2273.71,1.0740,2.519E-03,1.0600,1124.1,666,1591.6,3.777E-07
-1000,-1000,-1000,62.57,522.24,16.98,290.13,1.0069,31.0184,2193.82,1.0370,2.447E-03,1.0300,1120.3,663.7,1535.7,3.757E-07
0,0,0,59,518.67,15,288.15,1,29.9212,2116.22,1.0000,2.377E-03,1.0000,1116.4,661.5,1481.3,3.737E-07
1000,1000,1000,55.43,515.1,13.02,286.17,0.9931,28.8557,2040.86,0.9644,2.308E-03,0.9711,1112.6,659.2,1428.6,3.717E-07
2000,2000,1999,51.87,511.54,11.04,284.19,0.9862,27.821,1967.68,0.9298,2.241E-03,0.9428,1108.7,656.9,1377.4,3.697E-07
