Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
0,0,0,89.78,549.45,32.1,305.25,1.0593,29.9212,2116.22,1.000E+00,2.244E-03,9.440E-01,1149.1,680.8,1481.3,3.919E-07
1058,1058,1000,85.82,545.49,29.9,303.05,1.0517,28.8557,2040.86,9.644E-01,2.180E-03,9.170E-01,1144.9,678.4,1428.6,3.897E-07
2116,2116,2000,82.04,541.71,27.8,300.95,1.0444,27.821,1967.68,9.298E-01,2.116E-03,8.903E-01,1141,676,1377.4,3.876E-07
3174,3174,3000,78.08,537.75,25.6,298.75,1.0368,26.8166,1896.64,8.962E-01,2.055E-03,8.644E-01,1136.8,673.5,1327.6,3.853E-07
4232,4233,4000,74.3,533.97,23.5,296.65,1.0295,25.8418,1827.7,8.637E-01,1.994E-03,8.389E-01,1132.8,671.2,1279.4,3.832E-07
5289,5290,5000,70.34,530.01,21.3,294.45,1.0219,24.8959,1760.8,8.320E-01,1.935E-03,8.142E-01,1128.6,668.7,1232.5,3.810E-07
6347,6349,6000,66.56,526.23,19.2,292.35,1.0146,23.9782,1695.89,8.014E-01,1.877E-03,7.899E-01,1124.6,666.3,1187.1,3.788E-07
7404,7407,7000,62.6,522.27,17,290.15,1.0069,23.0881,1632.94,7.716E-01,1.821E-03,7.663E-01,1120.3,663.8,1143,3.766E-07
8460,8463,8000,58.82,518.49,14.9,288.05,0.9997,22.2249,1571.89,7.428E-01,1.766E-03,7.430E-01,1116.2,661.4,1100.3,3.744E-07
9517,9521,9000,54.86,514.53,12.7,285.85,0.992,21.3881,1512.7,7.148E-01,1.713E-03,7.206E-01,1112,658.8,1058.9,3.721E-07
10573,10578,10000,50.9,510.57,10.5,283.65,0.9844,20.5769,1455.33,6.877E-01,1.661E-03,6.986E-01,1107.7,656.3,1018.7,3.698E-07
11630,11636,11000,47.12,506.79,8.4,281.55,0.9771,19.7909,1399.74,6.614E-01,1.609E-03,6.769E-01,1103.6,653.9,979.8,3.676E-07
12685,12693,12000,43.16,502.83,6.2,279.35,0.9695,19.0293,1345.87,6.360E-01,1.559E-03,6.560E-01,1099.3,651.3,942.1,3.653E-07
13741,13750,13000,39.38,499.05,4.1,277.25,0.9622,18.2917,1293.7,6.113E-01,1.510E-03,6.354E-01,1095.1,648.8,905.6,3.631E-07
